kind,channel,central_A,min,max,std
BNS,I (Stable MT + CE),0.2539,0.2299,1.0000,0.3085
BNS,II (Stable MT only),0.0000,0.0000,0.0044,0.0010
BNS,III (Single-core CE),0.0000,0.0000,0.0000,0.0000
BNS,IV (Double-core CE),0.7461,0.0000,0.7701,0.3083
BNS,V (Other),0.0000,0.0000,0.0000,0.0000
BHNS,I (Stable MT + CE),0.9154,0.1326,0.9864,0.1855
BHNS,II (Stable MT only),0.0509,0.0113,0.8514,0.1893
BHNS,III (Single-core CE),0.0000,0.0000,0.0000,0.0000
BHNS,IV (Double-core CE),0.0337,0.0000,0.1506,0.0328
BHNS,V (Other),0.0000,0.0000,0.0001,0.0000
